age,gender,race,experience_years,education,skills_score,interview_score,hired
42,Male,White,21,High School,60,64,0
48,Female,White,27,Bachelor,87,58,0
50,Female,Hispanic,27,Bachelor,88,41,0
41,Female,White,18,Bachelor,92,73,0
46,Male,White,25,Master,95,95,1
27,Male,Asian,4,Master,79,31,0
57,Male,White,35,Master,82,88,1
23,Female,Asian,3,Bachelor,63,46,0
43,Female,White,23,High School,73,39,0
53,Female,White,28,Bachelor,47,47,0
37,Male,White,14,High School,83,51,0
39,Female,White,16,Bachelor,92,87,1
26,Female,Hispanic,0,High School,72,82,0
57,Male,White,35,Master,62,30,0
51,Male,Black,27,High School,52,90,0
40,Male,White,19,Master,93,60,0
44,Male,White,18,Master,92,60,1
55,Male,Hispanic,35,Bachelor,88,95,1
34,Male,White,9,Master,53,48,0
50,Male,Black,28,Bachelor,53,82,0
57,Female,Hispanic,35,Master,55,51,0
43,Male,Black,19,Bachelor,88,52,0
57,Male,Hispanic,35,Master,77,44,1
30,Male,White,4,Bachelor,97,55,1
40,Male,White,22,PhD,99,32,1
27,Female,White,5,Bachelor,78,49,0
36,Male,Asian,12,Bachelor,65,69,1
41,Male,Hispanic,18,Master,65,68,1
30,Female,White,10,Master,40,47,0
53,Male,Black,29,Bachelor,71,70,0
25,Female,White,0,High School,96,99,0
39,Male,Black,16,Bachelor,54,56,1
26,Male,White,0,PhD,91,44,1
41,Female,Hispanic,24,Master,60,66,0
44,Female,Black,20,Master,57,87,1
32,Female,White,12,High School,69,34,0
43,Male,White,21,Bachelor,99,36,1
25,Male,White,0,Bachelor,97,70,0
50,Female,White,27,Master,52,39,1
55,Male,White,35,High School,63,91,1
34,Male,Asian,11,Master,69,55,0
30,Male,Black,11,Bachelor,41,97,1
52,Male,Black,33,High School,58,53,0
28,Female,White,8,Bachelor,86,70,1
25,Male,Asian,1,Bachelor,83,94,0
40,Female,Asian,14,Bachelor,86,46,0
51,Male,White,27,High School,64,53,1
52,Male,Asian,30,High School,89,56,1
56,Male,Black,35,Master,53,36,0
42,Male,White,13,High School,45,41,0
52,Female,White,29,High School,51,32,1
40,Female,White,18,Bachelor,59,39,0
52,Female,White,29,Bachelor,62,62,1
53,Female,Hispanic,34,Master,69,75,1
23,Female,Asian,2,Bachelor,69,88,0
31,Female,Black,12,Master,77,81,0
23,Male,White,0,Bachelor,97,35,0
23,Male,White,3,High School,69,31,1
45,Male,Black,27,High School,80,58,1
38,Male,Black,19,Bachelor,69,69,0
53,Male,White,27,Bachelor,96,90,1
37,Male,White,14,Master,97,97,1
37,Female,Asian,13,Bachelor,75,97,1
52,Male,White,31,Bachelor,88,58,0
45,Male,White,25,High School,73,91,1
22,Male,Asian,0,High School,55,89,1
32,Male,White,10,Bachelor,63,70,0
42,Female,White,13,Bachelor,53,94,0
25,Male,White,7,Bachelor,65,93,1
28,Female,White,4,High School,47,92,0
47,Female,Asian,25,Bachelor,53,77,1
33,Male,White,10,Master,70,49,1
52,Male,White,33,Bachelor,41,66,0
38,Female,Asian,7,Bachelor,87,93,1
54,Female,Asian,31,PhD,43,34,0
32,Female,Asian,9,Bachelor,40,63,0
49,Female,White,25,Bachelor,94,68,0
53,Male,White,35,High School,59,96,1
22,Male,Hispanic,0,Bachelor,98,91,1
49,Male,Asian,29,High School,53,53,1
28,Female,White,7,PhD,79,32,0
23,Female,White,4,Master,64,96,1
45,Male,White,20,Master,99,79,1
25,Male,Hispanic,0,Master,64,58,0
40,Male,Black,21,Bachelor,42,61,1
47,Male,White,26,Bachelor,44,68,1
32,Female,White,5,Master,77,38,0
32,Female,Black,8,PhD,93,43,0
24,Female,Asian,3,Bachelor,65,97,0
33,Male,White,13,PhD,79,93,1
24,Male,Asian,0,Bachelor,77,49,0
48,Female,Hispanic,17,Bachelor,77,57,0
23,Female,White,2,Bachelor,43,43,0
37,Female,Black,11,High School,46,73,0
23,Female,White,0,High School,69,68,0
51,Male,Asian,20,High School,69,57,1
41,Male,Black,21,Bachelor,95,93,1
49,Male,Black,27,Bachelor,58,61,0
46,Male,Asian,23,Bachelor,78,38,1
53,Male,White,35,PhD,74,57,1
31,Male,Hispanic,10,Bachelor,79,46,1
54,Female,Black,35,Bachelor,72,84,0
34,Male,White,7,High School,72,39,0
37,Male,Black,14,High School,53,35,0
43,Female,Asian,16,Master,77,77,0
41,Male,White,18,Bachelor,49,96,0
48,Male,Asian,25,Master,96,70,1
37,Female,Hispanic,16,High School,67,89,0
55,Male,White,33,Bachelor,53,71,0
53,Male,Hispanic,32,Bachelor,75,57,1
47,Male,White,27,High School,77,42,1
46,Male,White,30,High School,55,44,0
23,Female,White,0,High School,99,65,0
33,Female,Hispanic,8,Bachelor,60,44,0
30,Female,Black,8,High School,67,85,0
33,Female,White,8,PhD,72,33,0
47,Female,White,29,Bachelor,45,81,1
30,Male,Black,7,High School,80,39,0
31,Female,White,7,High School,54,74,0
53,Male,Hispanic,29,Bachelor,83,58,1
55,Female,Asian,35,High School,42,82,0
41,Female,White,18,Master,82,58,0
23,Male,Hispanic,0,PhD,86,52,0
22,Male,White,4,High School,74,86,1
57,Male,Hispanic,32,Bachelor,53,79,0
45,Male,Black,23,High School,41,50,0
48,Female,Black,27,Bachelor,68,72,0
23,Female,White,0,Bachelor,43,39,0
52,Male,Hispanic,31,Bachelor,65,59,0
35,Male,White,9,High School,90,80,0
23,Male,White,3,Bachelor,51,62,1
50,Male,White,25,Bachelor,41,47,0
36,Male,Black,16,High School,56,51,0
33,Male,Black,14,Bachelor,74,93,1
49,Female,Asian,29,Bachelor,49,50,0
41,Male,Hispanic,19,Master,87,30,1
45,Male,White,22,High School,61,44,0
42,Female,Asian,18,Master,80,65,0
31,Male,White,13,Bachelor,82,76,0
35,Female,Asian,10,High School,60,83,0
39,Female,Asian,13,Bachelor,54,61,0
45,Male,Black,24,Bachelor,74,87,1
35,Male,Asian,10,PhD,87,75,0
55,Male,White,30,High School,60,83,1
33,Male,White,6,Bachelor,60,62,0
43,Male,Asian,19,Bachelor,60,68,1
27,Female,White,4,PhD,99,52,1
57,Male,White,35,Bachelor,83,72,0
57,Male,White,35,PhD,71,84,0
43,Male,Asian,22,Master,94,31,1
35,Female,White,12,Bachelor,44,95,1
37,Male,White,14,Master,78,67,1
57,Male,Asian,35,PhD,48,58,1
46,Male,Asian,27,Bachelor,92,96,1
53,Female,White,31,Bachelor,57,65,0
54,Male,White,30,Bachelor,60,58,0
57,Female,White,32,Bachelor,47,66,0
41,Female,White,14,High School,83,74,1
39,Male,White,18,High School,91,45,0
24,Female,Asian,3,Bachelor,73,60,0
44,Male,Black,23,Bachelor,49,63,0
53,Female,Black,30,High School,90,79,0
37,Female,White,19,Master,80,94,0
26,Male,Asian,2,Master,96,91,1
25,Male,White,5,High School,63,72,0
42,Female,Hispanic,19,Bachelor,79,85,0
35,Male,Black,11,Bachelor,63,44,0
